y=250, rel_y=157, left=318, right=705, width=388
y=251, rel_y=158, left=318, right=705, width=388
y=252, rel_y=159, left=318, right=705, width=388
y=253, rel_y=160, left=318, right=705, width=388
y=254, rel_y=161, left=318, right=705, width=388
y=255, rel_y=162, left=318, right=705, width=388
y=256, rel_y=163, left=318, right=705, width=388
y=257, rel_y=164, left=318, right=705, width=388
y=258, rel_y=165, left=318, right=705, width=388
y=259, rel_y=166, left=318, right=705, width=388
y=260, rel_y=167, left=318, right=705, width=388
y=261, rel_y=168, left=307, right=705, width=399
y=262, rel_y=169, left=307, right=705, width=399
y=263, rel_y=170, left=307, right=705, width=399
y=264, rel_y=171, left=307, right=705, width=399
y=265, rel_y=172, left=307, right=705, width=399
y=266, rel_y=173, left=307, right=705, width=399
y=267, rel_y=174, left=307, right=705, width=399
y=268, rel_y=175, left=307, right=705, width=399
y=269, rel_y=176, left=300, right=705, width=406
y=270, rel_y=177, left=300, right=705, width=406
y=271, rel_y=178, left=299, right=705, width=407
y=272, rel_y=179, left=296, right=705, width=410
y=273, rel_y=180, left=295, right=716, width=422
y=274, rel_y=181, left=295, right=716, width=422
y=275, rel_y=182, left=295, right=716, width=422
y=276, rel_y=183, left=295, right=716, width=422
y=277, rel_y=184, left=295, right=716, width=422
y=278, rel_y=185, left=295, right=716, width=422
y=279, rel_y=186, left=295, right=716, width=422
y=280, rel_y=187, left=295, right=716, width=422
y=281, rel_y=188, left=295, right=716, width=422
y=282, rel_y=189, left=295, right=716, width=422
y=283, rel_y=190, left=295, right=716, width=422
y=284, rel_y=191, left=295, right=728, width=434
y=285, rel_y=192, left=295, right=728, width=434
y=286, rel_y=193, left=295, right=728, width=434
y=287, rel_y=194, left=295, right=728, width=434
y=288, rel_y=195, left=295, right=728, width=434
y=289, rel_y=196, left=295, right=728, width=434
y=290, rel_y=197, left=295, right=728, width=434
y=291, rel_y=198, left=295, right=728, width=434
y=292, rel_y=199, left=295, right=728, width=434
y=293, rel_y=200, left=295, right=728, width=434
y=294, rel_y=201, left=295, right=728, width=434
y=295, rel_y=202, left=295, right=728, width=434
y=296, rel_y=203, left=295, right=728, width=434
y=297, rel_y=204, left=295, right=728, width=434
y=298, rel_y=205, left=295, right=728, width=434
y=299, rel_y=206, left=6, right=728, width=723
y=300, rel_y=207, left=295, right=728, width=434
y=301, rel_y=208, left=295, right=728, width=434
y=302, rel_y=209, left=295, right=728, width=434
y=303, rel_y=210, left=295, right=728, width=434
y=304, rel_y=211, left=295, right=728, width=434
y=305, rel_y=212, left=295, right=728, width=434
y=306, rel_y=213, left=295, right=728, width=434
y=307, rel_y=214, left=295, right=728, width=434
y=308, rel_y=215, left=295, right=728, width=434
y=309, rel_y=216, left=295, right=728, width=434
y=310, rel_y=217, left=295, right=728, width=434
y=311, rel_y=218, left=295, right=728, width=434
y=312, rel_y=219, left=293, right=728, width=436
