y=313, rel_y=141, left=264, right=787, width=524
y=314, rel_y=142, left=257, right=786, width=530
y=315, rel_y=143, left=257, right=786, width=530
y=316, rel_y=144, left=257, right=787, width=531
y=317, rel_y=145, left=256, right=790, width=535
y=318, rel_y=146, left=256, right=790, width=535
y=319, rel_y=147, left=256, right=785, width=530
y=320, rel_y=148, left=258, right=791, width=534
y=321, rel_y=149, left=257, right=766, width=510
y=322, rel_y=150, left=257, right=788, width=532
y=323, rel_y=151, left=257, right=785, width=529
y=324, rel_y=152, left=257, right=791, width=535
y=325, rel_y=153, left=257, right=789, width=533
y=326, rel_y=154, left=257, right=766, width=510
y=327, rel_y=155, left=257, right=785, width=529
y=328, rel_y=156, left=257, right=766, width=510
y=329, rel_y=157, left=257, right=773, width=517
y=330, rel_y=158, left=257, right=787, width=531
y=331, rel_y=159, left=257, right=786, width=530
y=332, rel_y=160, left=257, right=789, width=533
y=333, rel_y=161, left=257, right=791, width=535
y=334, rel_y=162, left=257, right=766, width=510
y=335, rel_y=163, left=257, right=794, width=538
y=336, rel_y=164, left=257, right=794, width=538
y=337, rel_y=165, left=257, right=766, width=510
y=338, rel_y=166, left=247, right=778, width=532
y=339, rel_y=167, left=257, right=789, width=533
y=340, rel_y=168, left=240, right=766, width=527
y=341, rel_y=169, left=246, right=780, width=535
y=342, rel_y=170, left=247, right=766, width=520
y=343, rel_y=171, left=244, right=766, width=523
y=344, rel_y=172, left=241, right=766, width=526
y=345, rel_y=173, left=241, right=783, width=543
y=346, rel_y=174, left=241, right=766, width=526
y=347, rel_y=175, left=240, right=766, width=527
y=348, rel_y=176, left=242, right=766, width=525
y=349, rel_y=177, left=240, right=766, width=527
y=350, rel_y=178, left=238, right=766, width=529
y=351, rel_y=179, left=240, right=766, width=527
y=352, rel_y=180, left=241, right=766, width=526
y=353, rel_y=181, left=242, right=766, width=525
y=354, rel_y=182, left=242, right=766, width=525
y=355, rel_y=183, left=246, right=766, width=521
y=356, rel_y=184, left=257, right=766, width=510
y=357, rel_y=185, left=240, right=766, width=527
y=358, rel_y=186, left=257, right=772, width=516
y=359, rel_y=187, left=257, right=766, width=510
y=360, rel_y=188, left=238, right=766, width=529
y=361, rel_y=189, left=257, right=766, width=510
y=362, rel_y=190, left=243, right=766, width=524
y=363, rel_y=191, left=257, right=766, width=510
y=364, rel_y=192, left=257, right=766, width=510
y=365, rel_y=193, left=240, right=766, width=527
y=366, rel_y=194, left=257, right=766, width=510
y=367, rel_y=195, left=233, right=766, width=534
y=368, rel_y=196, left=257, right=766, width=510
